chargeback_id,payment_sequential,chargeback_reason,chargeback_status,chargeback_opened_at,chargeback_closed_at,chargeback_amount,issuer_response,acquirer_response
aed488062a3d349252ffe2961e214551,2,cobranca_duplicada,ganho,42852,42902,204.76,aprovado,avaliacao_manual
4fe2fd5509bca02cbd39aa5b3eeb2a8f,2,fraude,ganho,43015,43019,51.20,tempo_excedido,aceito
ea3f0b4b84bd9df5f7834495b1f11d07,2,cobranca_duplicada,aberto,43118,43177,62.78,aprovado,aceito
6fcbcb1f955446e907a02e03b1808d25,2,cobranca_duplicada,sob_analise,43188,43234,314.76,aprovado,disputando
a8b2111a24cd1ebe4246f720de1b238b,2,cobranca_duplicada,sob_analise,42736,42787,126.92,revisando,aceito
cea05d3139cd44136f17235b6f42969f,2,fraude,ganho,42969,42982,55.86,aprovado,disputando
914e96369a010ec52a412b9d6a499e57,1,fraude,ganho,43052,43109,85.23,aprovado,aceito
103298c1f34006ce17094246325d0322,1,fraude,aberto,42753,42808,36.13,tempo_excedido,disputando
e782b3ed8e69a2cc4eff66e965c1e8bd,2,cobranca_duplicada,ganho,43194,43212,102.30,revisando,disputando
40237bfdaa849b45bb6dc75be63c3abf,2,cobranca_duplicada,ganho,42985,43028,57.59,aprovado,avaliacao_manual
cea95d05ab9ed4492e8be1c2122efcb7,2,cobranca_duplicada,sob_analise,43280,43308,49.02,recusado,avaliacao_manual
18cc6945eeb0fac797b1e48e96bb7ad7,1,cobranca_duplicada,aberto,42966,43004,294.75,tempo_excedido,aceito
652138adffce146ad78592e6d17b2552,2,cobranca_duplicada,ganho,43458,43499,211.40,aprovado,avaliacao_manual
062b1b23a7928be5abeb406e5889e08e,1,fraude,perdido,43339,43383,508.38,aprovado,avaliacao_manual
c0501d3db0e3b05744f4aa2c83338a43,1,cobranca_duplicada,aberto,43144,43163,39.09,aprovado,avaliacao_manual
d09ca8bb763241ddc7f4ca43816ed10c,1,cobranca_duplicada,sob_analise,43391,43437,122.12,tempo_excedido,aceito
5433a0ef395e151f154279cd3fcde661,1,cobranca_duplicada,aberto,43260,43307,158.45,revisando,aceito
bf951e41c5adb873b7fdcc1e83b406bf,1,cobranca_duplicada,ganho,43358,43401,54.85,aprovado,avaliacao_manual
b69321fb7d3000994c5a2b55c4f3cb01,2,voucher_indisponivel,aberto,43189,43227,92.79,revisando,avaliacao_manual
5274d9c61b31f846b8b51562f1f6d3d2,2,cobranca_duplicada,sob_analise,43388,43434,172.16,tempo_excedido,aceito
d7c88b34559c799b7170fb42a1222ab7,2,fraude,ganho,42970,42973,215.60,aprovado,avaliacao_manual
481bab4ab953e59fd75574754371e676,2,fraude,ganho,42836,42855,56.60,recusado,disputando
8f8bc0535394094e24486da5f27ddc8d,2,fraude,sob_analise,42906,42926,47.81,aprovado,aceito
4ac6c70cf4994485a30d7a2962436b7d,1,cobranca_duplicada,sob_analise,43193,43218,20.28,revisando,aceito
eea0eb694d4eb8ffa2ed9279f4c348e5,2,cobranca_duplicada,ganho,43320,43331,81.55,recusado,disputando
c3fb3cb084af855d673862998039acc0,2,cobranca_duplicada,aberto,43111,43167,33.17,recusado,avaliacao_manual
05c163d46637e5c0c23a0075dc1c854c,1,fraude,aberto,43351,43368,65.68,recusado,disputando
d9bde3a634ec04252eceffc6bef25ee0,2,cobranca_duplicada,perdido,42802,42861,76.02,recusado,avaliacao_manual
f6a88671e8773e56db1b3d82d29a01ce,1,cobranca_duplicada,aberto,43025,43074,131.33,revisando,avaliacao_manual
f6eb8b6dbe3e8d62dfa502ba34413b4c,2,cobranca_duplicada,ganho,42738,42793,135.49,recusado,aceito
5dea18c7d711cbfab32281c88b2650a1,1,cobranca_duplicada,perdido,42925,42960,55.09,revisando,aceito
020c01e41104519842f8a15605af646c,2,cobranca_duplicada,aberto,43154,43168,51.81,recusado,avaliacao_manual
5780928bf02589330d7318899b32f757,2,cobranca_duplicada,sob_analise,43179,43238,54.05,aprovado,disputando
c02a0e10038f56fba11ac63a654333a6,1,cobranca_duplicada,ganho,43003,43042,107.78,revisando,aceito
188e8c3184383f5eee9e40255048191b,1,cobranca_duplicada,perdido,43424,43481,120.84,recusado,avaliacao_manual
039dffcfcd2b5404d42beff4bbeff110,1,cobranca_duplicada,perdido,43268,43287,111.89,recusado,aceito
a31fbd130ab869e3edde0fa6549993de,1,cobranca_duplicada,ganho,43096,43099,85.34,revisando,aceito
6bd3baa0af5fdc1f3fe70a01055c597b,1,cobranca_duplicada,aberto,43285,43319,100.43,aprovado,aceito
ce85845ca7d1014cbae2bddabe1d468c,1,cobranca_duplicada,ganho,43390,43448,169.50,aprovado,disputando
78ed8bc9a17147a0c51493edd0d1cf70,1,fraude,sob_analise,43181,43230,413.17,aprovado,disputando
7388afc4743da7d6e532b7fd086b4357,1,fraude,sob_analise,42850,42891,217.78,recusado,avaliacao_manual
43f65aac05e035a88e4479f89cf12ea5,2,fraude,aberto,42934,42956,151.05,revisando,disputando
77aa52452b1fc7afb9b3438922e09668,2,cobranca_duplicada,aberto,42813,42851,108.78,revisando,avaliacao_manual
cd0a8ee2798421842887f1233ecfe6ca,1,cobranca_duplicada,ganho,43209,43265,251.65,aprovado,avaliacao_manual
c0fabfdace2df4fbd9e0e958f29a2cd7,2,cobranca_duplicada,sob_analise,43190,43217,46.84,tempo_excedido,aceito
cf7cd0f395801ff5971596509470129c,2,cobranca_duplicada,sob_analise,43033,43054,190.25,revisando,aceito
484e9a27d27ffe9d45ed4469cb357475,2,cobranca_duplicada,sob_analise,43377,43418,82.70,recusado,disputando
acce8f40fcce1d7eb0d4211d183fe9bc,2,fraude,perdido,42954,42985,39.34,aprovado,avaliacao_manual
f86a19d480f464d143272885b34b5fe8,1,cobranca_duplicada,ganho,42976,43003,51.00,recusado,avaliacao_manual
f5b3403a61cf8a308100863929f376a9,2,fraude,aberto,43103,43140,60.33,revisando,aceito
2d372207e6e6c38c19f44bf5a7e07e66,1,cobranca_duplicada,aberto,43124,43126,148.45,revisando,aceito
8777f25a50cd8f37e46fc4c8a222bad6,2,cobranca_duplicada,aberto,43196,43250,266.89,recusado,aceito
8258ee754942254bf787b58cfd650a73,2,fraude,perdido,42919,42966,37.77,revisando,disputando
17c6fca3637ae29093221f080840ff9e,2,cobranca_duplicada,ganho,43405,43414,196.92,aprovado,avaliacao_manual
2c1a2f921c5be4edef5b3cc5f8e79477,1,cobranca_duplicada,ganho,43252,43271,73.27,aprovado,avaliacao_manual
f7e13134cbda2f29f8690ed0dcb2e480,2,cobranca_duplicada,ganho,43059,43101,373.55,revisando,avaliacao_manual
20e7a21a233fcb32bbbb2d3613b03426,1,cobranca_duplicada,sob_analise,43240,43276,176.99,aprovado,aceito
0904fb2c91a18099a0b7315f1ac9501b,2,fraude,perdido,43307,43317,406.23,aprovado,disputando
d4d5280135d491579add0073e8d6f4ee,1,fraude,ganho,42814,42873,48.96,aprovado,disputando
4336f383d6d1f9c9d968406c7a920fd3,2,voucher_indisponivel,aberto,43402,43442,70.84,recusado,aceito
336f7fe8abc3af0bf30d0cf7204ec20f,1,cobranca_duplicada,aberto,42931,42985,74.03,recusado,disputando
32f67799858ce0d7f43a0e5fe9dd72d8,1,fraude,ganho,42742,42787,207.08,aprovado,disputando
8eb1c5be7906144e5984dfbf45c2ca26,2,cobranca_duplicada,perdido,43286,43325,40.25,revisando,avaliacao_manual
a95c742fa7426798396959c1bd1d6ab8,1,voucher_indisponivel,sob_analise,42768,42775,99.65,revisando,aceito
53622f13efcb7f159787ccafac6626cb,2,cobranca_duplicada,perdido,43058,43062,199.02,aprovado,aceito
23e7bb857c480aa4791ff2f7f2a5e151,2,voucher_indisponivel,ganho,43382,43397,103.55,aprovado,aceito
3ac2f9ede9c2c9be884248c857c75226,2,cobranca_duplicada,aberto,42953,42965,151.79,tempo_excedido,aceito
742cbcd370fd2e637bf3f2570ac5ed2a,2,cobranca_duplicada,aberto,43308,43356,69.90,recusado,avaliacao_manual
d9257c8e34393415a403600f6289fbc4,2,cobranca_duplicada,aberto,43255,43261,39.52,aprovado,disputando
7f4990a3cadc07c4c72c6a2b5026732b,2,voucher_indisponivel,ganho,42979,42988,100.00,aprovado,disputando
575c6dd8fb78db647ce9a4018b8e9235,2,cobranca_duplicada,aberto,43041,43076,50.13,aprovado,avaliacao_manual
ee49aa5583df0eaab10299357d126386,2,fraude,sob_analise,43007,43015,193.98,aprovado,disputando
a20538d69757be844119c80016394dcb,2,cobranca_duplicada,ganho,43178,43185,62.41,aprovado,aceito
f73de6a34a3027ae82efac7a6bb5318d,2,cobranca_duplicada,ganho,43081,43085,1244.74,recusado,avaliacao_manual
44cb884118c81bf6db2f43cf11ab63d6,2,fraude,aberto,43004,43062,136.90,tempo_excedido,avaliacao_manual
2078512e84c5104a45f4a1b80cce3ed1,1,fraude,sob_analise,43010,43023,123.75,tempo_excedido,aceito
d800ed6cc3e992f98f1b25959791706d,1,cobranca_duplicada,sob_analise,42747,42766,96.74,aprovado,aceito
16b0c0cbd2cb8d38451cde11c7692534,2,cobranca_duplicada,ganho,43417,43424,96.22,tempo_excedido,aceito
6baf65efe2c7c4b1641a061fa14fb621,2,cobranca_duplicada,perdido,43280,43290,63.10,aprovado,disputando
94726dd6ee359e6b201305165dac1d5b,2,fraude,aberto,42874,42899,46.00,aprovado,aceito
215235517f0e156724a0ac20bc1076a5,2,cobranca_duplicada,perdido,43060,43104,132.13,tempo_excedido,avaliacao_manual
88a2948d780f9ee2d226ce38913ee895,2,cobranca_duplicada,ganho,43254,43312,236.48,recusado,disputando
eec64646ac1076b7500eb7e34b00c8f7,2,fraude,ganho,43291,43326,43.22,aprovado,disputando
c873d67cdcc79e51c21b47d8c69ada68,2,fraude,ganho,43202,43260,137.93,recusado,avaliacao_manual
7858a830420b9bc393b55bcf268eeb36,2,cobranca_duplicada,sob_analise,43131,43156,165.13,revisando,disputando
18cdeae7a1be6702546e3d83e5186748,1,cobranca_duplicada,aberto,43167,43196,117.53,recusado,aceito
c3d8d92b4371e7710cdc67fcb1f49a34,2,cobranca_duplicada,ganho,43439,43495,33.06,tempo_excedido,aceito
9fc2a41d74cb13d98db36092842755f8,1,cobranca_duplicada,ganho,43290,43302,173.88,revisando,aceito
eea4bc8cadd431cb46a8349ae705a2f3,2,cobranca_duplicada,ganho,42817,42868,130.18,tempo_excedido,aceito
318145ea99714f48433e3332005b92d3,2,fraude,sob_analise,42772,42819,718.77,recusado,disputando
068254dc0ecdb91d62f52c658b4dd09a,1,fraude,perdido,43116,43156,159.95,aprovado,avaliacao_manual
b4423cdd0316fb3064befb92d164de96,2,fraude,ganho,42930,42942,163.92,aprovado,disputando
a3c3508e603e9411b2b69972993bd079,1,fraude,aberto,43318,43370,369.92,recusado,avaliacao_manual
e06507fb1e1f48c1cc59d40e02b82f16,2,mercadoria_nao_recebida,sob_analise,43331,43337,223.44,tempo_excedido,avaliacao_manual
8e054d33e00ddfd994d389e1e7204d3f,2,cobranca_duplicada,ganho,43008,43018,196.35,aprovado,aceito
4983af2477ae85a49af5ab63a208c507,1,cobranca_duplicada,ganho,43459,43461,157.45,revisando,disputando
442617a720896f8cbecf93ba2f11cb77,2,cobranca_duplicada,sob_analise,43236,43292,43.00,aprovado,aceito
808ee3e83e953036fd17d57aaa3d6a88,1,cobranca_duplicada,perdido,43109,43154,133.54,tempo_excedido,disputando
c71306562d226384a996365f61966a78,2,cobranca_duplicada,aberto,43225,43250,60.05,aprovado,disputando
83eb5fab753293927c17ab15fa582eaf,1,fraude,sob_analise,43131,43138,75.25,aprovado,aceito
43960d2cd4437218da00d3b8e83b2819,1,fraude,perdido,43083,43123,91.36,revisando,disputando
04210d64e3bdb5a0cd44eb156294991e,2,fraude,perdido,43397,43420,261.78,aprovado,aceito
b4667cd2edff64c10f3994c1395c3e3a,2,cobranca_duplicada,ganho,42918,42966,218.19,aprovado,avaliacao_manual
d59dcaef70d9e2c4082bc5d33dd190e4,1,cobranca_duplicada,perdido,42894,42905,516.28,recusado,aceito
525533c5eccb7f4665306a7e01783567,2,cobranca_duplicada,aberto,43229,43287,22.38,recusado,disputando
55463b6644570a60e7bd7f1c26c3c46d,2,cobranca_duplicada,perdido,43075,43111,77.57,tempo_excedido,disputando
62a86eeeb3310889c048224de16767e5,2,fraude,sob_analise,43368,43417,336.24,revisando,avaliacao_manual
4a1f80ceda1b97b97de2f26670316ab8,1,cobranca_duplicada,aberto,42937,42985,67.82,aprovado,avaliacao_manual
2a1826a678534f6229f4d60aedbdbb94,1,voucher_indisponivel,aberto,43150,43201,91.89,recusado,avaliacao_manual
ec02fec9423ae39b2f91ff964bdfd87c,1,cobranca_duplicada,sob_analise,43190,43213,27.36,recusado,aceito
6ed043d494d076830babf38c25630d86,1,cobranca_duplicada,aberto,43152,43211,341.51,revisando,aceito
b3c04e10f26d07b42c0a956f11eb18ff,1,cobranca_duplicada,sob_analise,43135,43178,408.69,revisando,disputando
4f5a529c594b7fb29daf6b077313ebcb,1,fraude,aberto,43272,43279,163.79,tempo_excedido,avaliacao_manual
1fbebbbba3149f89e410951ca531cae2,1,fraude,aberto,43385,43412,237.99,recusado,avaliacao_manual
90b0e0aa2d8c26868122bbc82de97b46,1,fraude,ganho,43403,43416,77.57,aprovado,aceito
3016d3537e78284991256efc878941ec,1,cobranca_duplicada,sob_analise,43179,43230,126.90,aprovado,disputando
e62ce8112cc3ca14e60e08b4766480fa,2,fraude,sob_analise,42741,42758,58.27,recusado,avaliacao_manual
1852019948d9a47a6c035457a6f71410,1,fraude,ganho,42744,42776,88.54,tempo_excedido,aceito
25c9f4c2d81933e44625c891cb889d4c,2,voucher_indisponivel,perdido,43256,43282,118.35,recusado,aceito
86501b9ee48e914f406cd33ddf6f77fb,2,cobranca_duplicada,ganho,43021,43078,398.62,tempo_excedido,avaliacao_manual
dda16909ad9bfd9cded321b79e073749,2,mercadoria_nao_recebida,sob_analise,43392,43414,231.27,aprovado,avaliacao_manual
0bdb173bda4bf7e4109fe707c309252a,1,cobranca_duplicada,ganho,43329,43342,132.95,tempo_excedido,disputando
a08091683d8adb340e3b204a12e48b02,1,fraude,aberto,43116,43128,343.67,aprovado,avaliacao_manual
cac0cf69e6b636454b35048fac095f75,1,cobranca_duplicada,aberto,42775,42782,316.64,aprovado,aceito
b6d950bbbac28a711a71455adc829a5d,1,fraude,sob_analise,43235,43236,119.15,aprovado,avaliacao_manual
b90ff29b64c30c202414b3bdab0160b5,2,cobranca_duplicada,perdido,42947,42980,47.02,revisando,avaliacao_manual
1bce4e7b57b2796a7e726aeebb967a32,1,fraude,aberto,43150,43202,67.50,aprovado,disputando
799f11bf34b4fcf6d45f6e2399907cf0,1,fraude,aberto,43025,43080,115.94,revisando,aceito
95fd5e469d8ce5093adeace50b5a4389,1,cobranca_duplicada,aberto,43355,43369,60.86,aprovado,avaliacao_manual
0519649fc6c78b0e228b6ea8e6767095,1,fraude,perdido,43129,43188,47.60,aprovado,aceito
e4bed70dad1c8ff6bfb51ce87e9df866,1,cobranca_duplicada,ganho,43171,43218,257.45,revisando,disputando
5c31daa6b8fe52296b49b6776c8d2749,2,fraude,aberto,42744,42787,19.33,recusado,aceito
1c983e7908135b2d50bd8a346cec69cc,1,cobranca_duplicada,ganho,42862,42918,66.85,aprovado,avaliacao_manual
30fb68ec9b460ddad4e36bf5b4c457e4,2,cobranca_duplicada,ganho,42767,42825,79.06,aprovado,avaliacao_manual
0245af1fbe1f70f5ac7c1793c78f12cb,1,cobranca_duplicada,ganho,43105,43146,130.01,revisando,disputando
6654e58f005c8a4b26a13bfa094b1ec6,2,cobranca_duplicada,aberto,43276,43293,55.09,aprovado,disputando
289e6f8bee1d0394dda10569516bfb27,1,cobranca_duplicada,perdido,43118,43122,228.66,recusado,disputando
f37d724af2a6e8663e5de52bc2f7acc3,1,cobranca_duplicada,sob_analise,42748,42800,210.56,aprovado,aceito
100ad9dbc9d9b325495758270807e3aa,2,cobranca_duplicada,ganho,43275,43326,167.62,aprovado,aceito
022e34b10acb0f74f51f03b3bf8d996d,2,cobranca_duplicada,aberto,42910,42949,106.38,aprovado,aceito
0e94db37ea63222e95092a0f870f8e9a,2,cobranca_duplicada,sob_analise,42842,42843,63.27,recusado,aceito
9e02d72f347640b319a659ea810f90b9,1,cobranca_duplicada,sob_analise,43213,43254,58.36,tempo_excedido,disputando
c3e32e69bba7c640697cc4ac19936113,2,cobranca_duplicada,ganho,43268,43313,137.41,aprovado,aceito
ba4ab82dfc39b245d6688ce6e5d75d1f,1,cobranca_duplicada,aberto,43247,43271,562.52,tempo_excedido,aceito
1b7926dafeead0e19837ca6b7764e1f1,1,fraude,ganho,43378,43412,168.58,revisando,aceito
6c04516be61ae90e04756c3290c405b7,2,cobranca_duplicada,aberto,43320,43354,113.62,revisando,aceito
969c5d020e2a752154208ff5f31972ad,2,cobranca_duplicada,ganho,42965,42989,284.73,aprovado,disputando
5cb5eea8db35f4d622fd1122e2841e39,1,fraude,perdido,42880,42939,268.77,aprovado,disputando
803dd982ba6bec72451fa959ec890f17,1,cobranca_duplicada,ganho,42904,42919,35.77,revisando,avaliacao_manual
18f3d3d3d8f47205c56d03799039c61a,2,cobranca_duplicada,ganho,42839,42856,140.22,aprovado,avaliacao_manual
363ef87a97dcef74ca5b91ca4a415f3c,2,cobranca_duplicada,ganho,42789,42802,72.68,aprovado,aceito
64d08d57c3320c16b1e8db97bfc9b314,2,cobranca_duplicada,sob_analise,42877,42884,73.34,revisando,aceito
b07365d2d0d22bc99d8ef5107e761a88,1,cobranca_duplicada,perdido,43202,43211,221.98,aprovado,disputando
1774ba82c4fe803da714e3f5c48cbcdc,1,cobranca_duplicada,aberto,43448,43492,193.69,aprovado,avaliacao_manual
a083c58efb31a3ae3e0ec63ccbdc8e37,1,cobranca_duplicada,ganho,42961,42996,44.31,aprovado,aceito
69667b3cf01cc08504df14966a6b587a,1,cobranca_duplicada,ganho,43080,43103,46.77,revisando,avaliacao_manual
c93d1daac7ac7b818a7ae6a826ebff8a,1,fraude,sob_analise,43176,43230,32.06,aprovado,avaliacao_manual
217b8ba86d0c37dc9dcedacb5bb1dd94,1,cobranca_duplicada,sob_analise,43239,43286,192.68,revisando,avaliacao_manual
26e151776de74222baf9cf13a8ef9b74,2,cobranca_duplicada,sob_analise,43046,43085,219.64,recusado,disputando
69f54f52631eb8ea8bec66cb902cf54e,1,voucher_indisponivel,perdido,43122,43145,14.32,recusado,aceito
7e03b475d9c49d593486fafbeb210526,1,cobranca_duplicada,perdido,43310,43336,137.99,aprovado,aceito
d866a99eedddb2e64c1dc53d01c9ea15,1,cobranca_duplicada,ganho,43335,43336,223.22,aprovado,disputando
e21f1d324fae5b5f66b4f4347503fe40,2,fraude,ganho,43463,43477,138.52,recusado,disputando
0cb617c8bf1a34cf77947ac7d8b393f0,1,cobranca_duplicada,perdido,43337,43369,60.86,aprovado,disputando
a82a8de42e1aa1d5c74f83f7b23fbea9,1,cobranca_duplicada,aberto,42979,43030,68.32,revisando,avaliacao_manual
300ddfe520bd71c223ba642400982151,2,cobranca_duplicada,aberto,43065,43113,128.44,aprovado,avaliacao_manual
a6d7b2808b32dae3b384222edb93efd0,1,cobranca_duplicada,ganho,43155,43165,26.78,recusado,aceito
425a576f4dbce35f760bff4c6d50015a,1,fraude,perdido,43110,43111,95.21,aprovado,aceito
a6ac4552716d0eff2649af4aa090619c,1,cobranca_duplicada,perdido,42869,42874,36.44,tempo_excedido,avaliacao_manual
092ae6b690ac68b7ced1f67eaf5e37ff,1,cobranca_duplicada,sob_analise,43229,43232,186.59,aprovado,avaliacao_manual
562123563a31d7d3d69fd9ce87a0d443,1,cobranca_duplicada,aberto,42887,42936,91.79,aprovado,disputando
59fecfd658937396ab6180c0b9a99a89,2,fraude,sob_analise,43138,43188,171.93,revisando,avaliacao_manual
cfb601982b3ff65c1821561ec49625bd,2,cobranca_duplicada,aberto,43043,43101,2064.88,recusado,aceito
1da5abde88d474271f7a8d3dc9206c6a,2,cobranca_duplicada,aberto,43257,43310,37.78,recusado,aceito
f503bf4df121d79cc4907029e84dc441,1,fraude,ganho,43176,43203,131.73,recusado,disputando
773091ea5794bbdf9e81ad2fde5f782c,1,cobranca_duplicada,aberto,42997,43048,55.10,tempo_excedido,disputando
6259deeab2f6daedf07d0574adda7fff,1,cobranca_duplicada,perdido,43260,43314,41.01,aprovado,aceito
458661c70cd0af0cb182a2afb5033c8a,2,fraude,sob_analise,43303,43360,93.18,aprovado,avaliacao_manual
d349a57c214e76cb866e64ffc04c23f4,1,cobranca_duplicada,ganho,42795,42817,276.08,revisando,avaliacao_manual
a90ba85d1c3ec461d94c0a26cbe4d051,1,cobranca_duplicada,aberto,43280,43298,54.00,aprovado,aceito
eb07db9884e44e51d9f3f7e6ef2715d9,2,cobranca_duplicada,sob_analise,43358,43374,70.49,tempo_excedido,avaliacao_manual
1704f22579a5be1ff00ac2cdcc1e582c,1,fraude,aberto,43338,43340,85.14,aprovado,avaliacao_manual
5c9662fcebe9b346457f1a2b7465e1e6,2,cobranca_duplicada,perdido,43015,43062,32.77,aprovado,aceito
7c3b51d43ff0ed3ecf74550b124dde61,2,fraude,perdido,43087,43100,71.04,aprovado,aceito
5bfd0cddafa5fbbaa95429ed5577be6c,2,fraude,sob_analise,42752,42797,79.29,recusado,disputando
f380f2af4b81c39da36a06a133dd12c8,1,cobranca_duplicada,aberto,42959,42975,187.10,recusado,aceito
18c0e47466dfe911dac270d92d6f55b5,1,fraude,perdido,43359,43367,671.25,aprovado,disputando
50d9186d77acd4105e6dc1098ed0a28c,1,cobranca_duplicada,sob_analise,42957,43000,385.75,aprovado,disputando
f142ccab4f2274122d3b10c539737deb,1,cobranca_duplicada,aberto,43217,43225,366.27,revisando,avaliacao_manual
2ed5305b914f9e070f396f7d29287aff,1,cobranca_duplicada,ganho,43316,43370,51.93,aprovado,aceito
5ae7a6fa175ab7b180b6c0142e5466e9,1,cobranca_duplicada,perdido,43091,43101,105.14,revisando,avaliacao_manual
4831214da07f7723b1d22426e0b4151e,1,cobranca_duplicada,aberto,43077,43132,148.15,revisando,aceito
55b6cfcdaae4a8dc9629850dc635995d,2,voucher_indisponivel,aberto,43039,43072,5.14,revisando,aceito
4173b7694f9c23cfbbaa1bfb2f9593b3,1,cobranca_duplicada,perdido,43366,43397,286.76,revisando,avaliacao_manual
b6c8a981ff2379f36a347ec8c9e2ae56,2,cobranca_duplicada,aberto,42951,42963,82.98,aprovado,disputando
d4c17074d3c22044f71a0faa32f99564,1,cobranca_duplicada,aberto,43078,43087,101.61,revisando,aceito
4f40b7b437c07599a6f77c6ba8977dcf,1,cobranca_duplicada,ganho,43444,43481,162.91,revisando,disputando
ca0d7c055f7ec0f5ac169160dfceced0,1,fraude,perdido,42858,42867,27.69,revisando,avaliacao_manual
f5090f33660f2488a5358a5694e0a64b,2,cobranca_duplicada,sob_analise,43379,43427,78.52,aprovado,avaliacao_manual
5958326b12eca1c2a2b4627dc4676a2c,2,cobranca_duplicada,perdido,43126,43144,153.69,revisando,aceito
0e530f6be154c9d7e7b12f34153b0fc9,2,cobranca_duplicada,ganho,43234,43264,848.93,tempo_excedido,avaliacao_manual
434ec3f57648befd76c4f52d8524cc1d,2,fraude,aberto,43398,43430,64.56,tempo_excedido,aceito
6f51c1344ad020aefab85b67a98bebd1,1,cobranca_duplicada,perdido,42825,42865,139.61,aprovado,aceito
f94e7fe62953e889ccdc4af045dbe8f0,2,fraude,sob_analise,43230,43253,113.63,aprovado,aceito
410ca30ef54d25e4deaf8d5babbed030,1,fraude,aberto,43164,43175,117.13,revisando,aceito
ba4de00b613fe6fce59f7c7d81e49056,1,cobranca_duplicada,ganho,42966,42986,46.80,recusado,aceito
7e7280eb49c876dcbe8be5aaafcf4f15,2,fraude,sob_analise,43387,43406,105.74,aprovado,avaliacao_manual
b0f57536fcde0c4422cea71a465326a5,2,fraude,aberto,43259,43295,285.63,revisando,aceito
41e296c991263f9ade5507299e38fe72,2,cobranca_duplicada,aberto,43160,43212,150.87,aprovado,disputando
2af51acea000183f38353be856b90dca,2,cobranca_duplicada,sob_analise,43311,43337,179.19,aprovado,aceito
25080237d0a969f93948203985e3b324,2,cobranca_duplicada,perdido,42931,42941,109.31,aprovado,aceito
4900f8f1421400535834a94765872825,2,cobranca_duplicada,ganho,43161,43185,175.52,aprovado,aceito
b36db5f5ccb37354e4ea2e637d9058c7,2,fraude,perdido,43055,43068,245.59,aprovado,avaliacao_manual
984174bcd02edf2e6d81d8505a6f69d3,2,cobranca_duplicada,aberto,43126,43178,92.61,aprovado,disputando
a6e164bcfe0ced3f1ce18e4c42202820,1,cobranca_duplicada,aberto,43167,43213,89.17,aprovado,disputando
012e93f8170eb75b2f2f650629d04517,2,cobranca_duplicada,aberto,43271,43324,65.10,recusado,disputando
b26c483e11283be6968baaee5a01258c,2,cobranca_duplicada,aberto,43349,43383,132.26,revisando,avaliacao_manual
